,ASPA_Customer_Meters.shp,Buildings.shp,Electrical_Lines.shp,Roads.shp,Sewer_Lift_Stations.shp,Sewer_Lines.shp,Water_Boosters.shp,Water_Lines.shp,tot_Flooded_buried_lines
base_Surface,1.0,1.0,402.05869717242,65.16813055348,0.0,53.33366692783,0.0,220.02649553556998,675.41885963582
2ft_Surface,1.0,1.0,777.36442329381,295.82808889101995,0.0,134.20774334457502,0.0,515.660873177414,1427.233039815799
2ft_RCP45_Surface,3.0,3.0,836.11959784863,417.04538807099,0.0,241.902982322125,0.0,627.133851454918,1705.1564316256731
1ft_Surface,5.0,10.0,1481.887442832998,1188.82290825052,0.0,585.2922128620671,0.0,1345.327643873149,3412.507299568214
base_Sub,21.0,49.0,2211.794691741648,2929.177708660333,0.0,1461.7971693460172,1.0,3481.2845043710563,7154.876365458722
5ft_Surface,28.0,74.0,2895.9425632949806,3490.473860411503,0.0,1724.858732727739,1.0,4644.244143616754,9265.045439639474
5ft_RCP45_Surface,28.0,76.0,2900.9948385554803,3582.7153345704833,0.0,1789.481353984309,1.0,4764.074017479064,9454.550210018853
2ft_Sub,65.0,157.0,5872.152871972589,9955.054011022672,0.0,4724.82240076499,1.0,10483.346785544672,21080.32205828225
2ft_RCP45_Sub,70.0,164.0,6024.695373874589,10863.629792316362,0.0,5104.727645399981,1.0,11204.86648942224,22334.289508696813
1ft_Sub,111.0,247.0,9525.97989035251,16759.39008687635,2.0,8182.733181475916,1.0,17429.67897253427,35138.3920443627
8ft_Surface,142.0,325.0,13067.384382854689,21456.164167062587,3.0,9842.756522566002,1.0,23010.84002180397,45920.980927224664
8ft_RCP45_Surface,142.0,326.0,13067.384382854689,21480.415419536886,3.0,9852.959684748203,1.0,23026.09997174297,45946.44403934586
5ft_Sub,171.0,394.0,14476.475375803768,26330.978658111104,4.0,11249.513195919691,2.0,27360.625495126053,53086.61406684951
5ft_RCP45_Sub,173.0,405.0,14574.56478641237,26704.07614550992,4.0,11406.328491041251,2.0,27751.431404497,53732.324681950624
8ft_Sub,268.0,566.0,18638.68892718363,34214.20639116486,7.0,13761.005106608456,3.0,37514.565305259166,69914.25933905125
8ft_RCP45_Sub,268.0,569.0,18655.28114708363,34339.20218735492,7.0,13791.799940834026,4.0,37698.79541113587,70145.87649905353
Total_Lengths,1329.0,2398.0,20486.366790691205,76765.56681189116,8.0,42315.5045899074,5.0,91195.43612632273,153997.30750692135
